date	query_type	total_requests
2016-04-03	more_like	9134429
2016-04-03	version	321
2016-04-03	other_idx_lookup	79249
2016-04-03	prefix	707754
2016-04-03	send_data_write	4886111
2016-04-03	regex	2899
2016-04-03	comp_suggest	68362389
2016-04-03	send_data_other_idx_write	3270
2016-04-03	namespace	18673
2016-04-03	near_match	570761
2016-04-03	full_text	32179758
2016-04-03	get	2
2016-04-03	send_deletes	21566
2016-04-03	degraded_full_text	122
2016-04-03	GeoData_spatial_search	894957
2016-04-04	get	14
2016-04-04	degraded_full_text	117
2016-04-04	regex	2693
2016-04-04	GeoData_spatial_search	733867
2016-04-04	near_match	706960
2016-04-04	more_like	7608869
2016-04-04	namespace	17281
2016-04-04	full_text	31667279
2016-04-04	send_data_write	5023519
2016-04-04	send_deletes	29064
2016-04-04	other_idx_lookup	67637
2016-04-04	comp_suggest	73941563
2016-04-04	version	396
2016-04-04	prefix	778797
2016-04-04	send_data_other_idx_write	3041
2016-04-05	full_text	32588480
2016-04-05	send_data_write	4511513
2016-04-05	send_deletes	18230
2016-04-05	other_idx_lookup	42034
2016-04-05	comp_suggest	74059772
2016-04-05	version	355
2016-04-05	prefix	774001
2016-04-05	send_data_other_idx_write	2586
2016-04-05	get	15
2016-04-05	degraded_full_text	155
2016-04-05	regex	3310
2016-04-05	GeoData_spatial_search	704513
2016-04-05	near_match	804877
2016-04-05	more_like	7219384
2016-04-05	namespace	17453
2016-04-06	send_data_other_idx_write	2718
2016-04-06	get	9
2016-04-06	degraded_full_text	119
2016-04-06	regex	2916
2016-04-06	GeoData_spatial_search	734033
2016-04-06	near_match	700363
2016-04-06	more_like	7016233
2016-04-06	namespace	18918
2016-04-06	full_text	31972429
2016-04-06	send_data_write	4512243
2016-04-06	send_deletes	20099
2016-04-06	other_idx_lookup	38339
2016-04-06	comp_suggest	74312260
2016-04-06	version	361
2016-04-06	prefix	762349
2016-04-07	count_links	11
2016-04-07	get	4
2016-04-07	prefix	741963
2016-04-07	comp_suggest	72705946
2016-04-07	namespace	16529
2016-04-07	GeoData_spatial_search	747002
2016-04-07	other_idx_lookup	33013
2016-04-07	full_text	30661107
2016-04-07	version	269
2016-04-07	send_data_other_idx_write	2045
2016-04-07	degraded_full_text	141
2016-04-07	send_data_write	4158098
2016-04-07	more_like	7052416
2016-04-07	send_deletes	24228
2016-04-07	near_match	857770
2016-04-07	regex	4018
2016-04-08	version	509
2016-04-08	GeoData_spatial_search	779272
2016-04-08	regex	14986
2016-04-08	comp_suggest	67185644
2016-04-08	more_like	7144851
2016-04-08	send_data_other_idx_write	1853
2016-04-08	send_data_write	4021479
2016-04-08	send_deletes	16467
2016-04-08	degraded_full_text	153
2016-04-08	prefix	743184
2016-04-08	full_text	28334748
2016-04-08	namespace	19737
2016-04-08	near_match	822707
2016-04-08	other_idx_lookup	33850
2016-04-08	get	5
2016-04-09	prefix	689530
2016-04-09	regex	6902
2016-04-09	near_match	647788
2016-04-09	send_deletes	15866
2016-04-09	comp_suggest	62951938
2016-04-09	version	332
2016-04-09	GeoData_spatial_search	898971
2016-04-09	more_like	8220294
2016-04-09	other_idx_lookup	36393
2016-04-09	send_data_other_idx_write	2410
2016-04-09	get	9
2016-04-09	full_text	28967246
2016-04-09	degraded_full_text	151
2016-04-09	namespace	15806
2016-04-09	send_data_write	4224694
2016-04-10	get	4
2016-04-10	degraded_full_text	149
2016-04-10	send_deletes	16294
2016-04-10	GeoData_spatial_search	918142
2016-04-10	more_like	9236989
2016-04-10	version	444
2016-04-10	other_idx_lookup	35267
2016-04-10	prefix	729926
2016-04-10	send_data_write	3946335
2016-04-10	regex	22330
2016-04-10	comp_suggest	70571010
2016-04-10	send_data_other_idx_write	2217
2016-04-10	namespace	20571
2016-04-10	near_match	669858
2016-04-10	full_text	31316183
